seed,core,preference,cards,phase,total,max_drawdown,satellites,policies,contributions,goal
26,allWorld,長期方針優先,false,clear,1252523,-0.285031,dividend,reinvestment+emergencyFund+contributions,160000,false
27,allWorld,長期方針優先,false,clear,1169272,-0.4793763211620806,dividend,reinvestment+contributions+cashManagement,240000,false
28,allWorld,長期方針優先,false,clear,902511,-0.339842,bonds,emergencyFund+reinvestment+contributions,80000,false
29,allWorld,長期方針優先,false,clear,1852831,-0.18698125700467458,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
30,allWorld,長期方針優先,false,clear,1940267,-0.24566117776377258,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
31,allWorld,長期方針優先,false,clear,2036713,-0.236102,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
32,allWorld,長期方針優先,false,clear,976868,-0.3794043508287293,bonds,contributions+emergencyFund+cashManagement,320000,false
33,allWorld,長期方針優先,false,clear,1307876,-0.25877183170234586,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
34,allWorld,長期方針優先,false,clear,1647589,-0.2524991865528533,,reinvestment+emergencyFund+contributions+cashManagement,170000,false
35,allWorld,長期方針優先,false,clear,1793723,-0.21497384155455904,dividend,contributions+reinvestment+cashManagement,320000,false
36,allWorld,長期方針優先,false,clear,1873581,-0.21484569151668803,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
37,allWorld,長期方針優先,false,clear,1258484,-0.21088806126222454,gold,emergencyFund+contributions+reinvestment,160000,false
38,allWorld,長期方針優先,false,clear,1352770,-0.5173691789655861,,reinvestment+emergencyFund+cashManagement+contributions,130000,false
39,allWorld,長期方針優先,false,clear,922985,-0.463495,gold,contributions+reinvestment+emergencyFund,320000,false
40,allWorld,長期方針優先,false,clear,2063284,-0.2643440445568006,,reinvestment+emergencyFund+cashManagement+contributions,80000,false
41,allWorld,長期方針優先,false,clear,1631392,-0.19663008432539683,,emergencyFund+cashManagement+contributions+reinvestment,200000,false
42,allWorld,長期方針優先,false,clear,1334755,-0.4492952992952993,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
43,allWorld,長期方針優先,false,clear,1389714,-0.26994739657631955,,reinvestment+emergencyFund+cashManagement+contributions,100000,false
44,allWorld,長期方針優先,false,clear,2407773,-0.303195512237285,,contributions+reinvestment+cashManagement+emergencyFund,370000,false
45,allWorld,長期方針優先,false,clear,549554,-0.648556,,emergencyFund+reinvestment+contributions+cashManagement,170000,false
46,allWorld,長期方針優先,false,clear,681387,-0.40598072900295895,gold,cashManagement+emergencyFund+contributions,160000,false
47,allWorld,長期方針優先,false,clear,1495750,-0.1255004445706706,,contributions+reinvestment+cashManagement+emergencyFund,320000,false
48,allWorld,長期方針優先,false,clear,1227352,-0.1816,bonds,emergencyFund+contributions+reinvestment,240000,false
49,allWorld,長期方針優先,false,clear,826944,-0.41631049888309757,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
50,allWorld,長期方針優先,false,clear,1977366,-0.15753207444989822,dividend,reinvestment+emergencyFund+contributions,80000,false
51,allWorld,長期方針優先,false,clear,2107355,-0.2630152245714054,dividend,emergencyFund+reinvestment+contributions,80000,false
52,allWorld,長期方針優先,false,clear,1550598,-0.17041459554994146,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
53,allWorld,長期方針優先,false,clear,1458666,-0.44942299783449885,gold,contributions+reinvestment+emergencyFund,320000,false
54,allWorld,長期方針優先,false,clear,2406591,-0.20184496798350937,dividend,reinvestment+contributions+emergencyFund,160000,false
55,allWorld,長期方針優先,false,clear,917328,-0.344856,dividend,reinvestment+cashManagement+contributions,160000,false
56,allWorld,長期方針優先,false,clear,2141550,-0.2149976485302306,dividend,contributions+emergencyFund+reinvestment,320000,false
57,allWorld,長期方針優先,false,clear,1336026,-0.2533680998790287,gold,cashManagement+emergencyFund+contributions,80000,false
58,allWorld,長期方針優先,false,clear,1168993,-0.45227041634371035,,reinvestment+contributions+emergencyFund+cashManagement,260000,false
59,allWorld,長期方針優先,false,clear,2118041,-0.3117379600376634,bonds,contributions+emergencyFund+reinvestment,320000,false
60,allWorld,長期方針優先,false,clear,3235352,-0.1056276336391521,,contributions+emergencyFund+reinvestment+cashManagement,360000,true
61,allWorld,長期方針優先,false,clear,2395290,-0.20741137814308547,,contributions+emergencyFund+cashManagement+reinvestment,400000,false
62,allWorld,長期方針優先,false,clear,1582809,-0.22803273576921362,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
63,allWorld,長期方針優先,false,clear,1637351,-0.3750901854321251,,emergencyFund+cashManagement+contributions+reinvestment,160000,false
64,allWorld,長期方針優先,false,clear,4028407,-0.11280445720465082,,emergencyFund+contributions+reinvestment+cashManagement,280000,true
65,allWorld,長期方針優先,false,clear,2262457,-0.2555462236686647,,reinvestment+contributions+emergencyFund+cashManagement,270000,false
66,allWorld,長期方針優先,false,clear,1622930,-0.180409,,contributions+reinvestment+emergencyFund+cashManagement,320000,false
67,allWorld,長期方針優先,false,clear,639485,-0.543007,gold,cashManagement+reinvestment+contributions,160000,false
68,allWorld,長期方針優先,false,clear,2982821,-0.21199903233610193,,contributions+cashManagement+reinvestment+emergencyFund,370000,false
69,allWorld,長期方針優先,false,clear,2044036,-0.16469811320754718,,contributions+reinvestment+cashManagement+emergencyFund,320000,false
70,allWorld,長期方針優先,false,clear,1368362,-0.35057770479510403,,contributions+reinvestment+emergencyFund+cashManagement,320000,false
71,allWorld,長期方針優先,false,clear,1288418,-0.31652352501867065,dividend,emergencyFund+reinvestment+cashManagement,60000,false
72,allWorld,長期方針優先,false,clear,2547963,-0.21089940933880635,,contributions+emergencyFund+reinvestment+cashManagement,330000,false
73,allWorld,長期方針優先,false,clear,1143668,-0.33689692607860555,bonds,contributions+reinvestment+emergencyFund,320000,false
74,allWorld,長期方針優先,false,clear,671239,-0.5077723315351146,,cashManagement+emergencyFund+contributions+reinvestment,160000,false
75,allWorld,長期方針優先,false,clear,1514295,-0.271754,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
76,allWorld,長期方針優先,false,clear,1499047,-0.2950405139129903,,cashManagement+contributions+reinvestment+emergencyFund,280000,false
77,allWorld,長期方針優先,false,clear,1892059,-0.2588199169100686,dividend,cashManagement+emergencyFund+contributions,210000,false
78,allWorld,長期方針優先,false,clear,2757107,-0.37576666448598184,dividend,contributions+emergencyFund+reinvestment,320000,false
79,allWorld,長期方針優先,false,clear,714509,-0.5148200389105059,,emergencyFund+contributions+cashManagement+reinvestment,240000,false
80,allWorld,長期方針優先,false,clear,1217286,-0.2525077767868476,,cashManagement+contributions+emergencyFund+reinvestment,240000,false
81,allWorld,長期方針優先,false,clear,2886380,-0.10932620216394186,dividend,contributions+emergencyFund+reinvestment,240000,false
82,allWorld,長期方針優先,false,clear,1724747,-0.2876,gold,emergencyFund+reinvestment+contributions,80000,false
83,allWorld,長期方針優先,false,clear,2290759,-0.16987720889465815,,reinvestment+emergencyFund+contributions+cashManagement,180000,false
84,allWorld,長期方針優先,false,clear,2865858,-0.23674862353133486,dividend,contributions+emergencyFund+cashManagement,240000,false
85,allWorld,長期方針優先,false,clear,930020,-0.38603158517017144,,emergencyFund+reinvestment+contributions+cashManagement,160000,false
86,allWorld,長期方針優先,false,clear,1920622,-0.2611474668178951,gold,emergencyFund+contributions+reinvestment,240000,false
87,allWorld,長期方針優先,false,clear,1294060,-0.32484970912421823,,contributions+reinvestment+emergencyFund+cashManagement,320000,false
88,allWorld,長期方針優先,false,clear,3085574,-0.15876410176767375,bonds,contributions+emergencyFund+cashManagement,350000,true
89,allWorld,長期方針優先,false,clear,1557653,-0.3208954285275877,dividend,contributions+emergencyFund+cashManagement,320000,false
90,allWorld,長期方針優先,false,clear,2012332,-0.14217880329573232,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
91,allWorld,長期方針優先,false,clear,793537,-0.6320693096396766,,cashManagement+reinvestment+emergencyFund+contributions,100000,false
92,allWorld,長期方針優先,false,clear,976128,-0.362304,bonds,cashManagement+emergencyFund+contributions,220000,false
93,allWorld,長期方針優先,false,clear,886780,-0.3407550672212296,,emergencyFund+contributions+cashManagement+reinvestment,240000,false
94,allWorld,長期方針優先,false,clear,1572063,-0.25335912732055965,dividend,contributions+emergencyFund+reinvestment,320000,false
95,allWorld,長期方針優先,false,clear,3019223,-0.1963963465524974,,reinvestment+emergencyFund+contributions+cashManagement,190000,true
96,allWorld,長期方針優先,false,clear,1542054,-0.3735053290070618,dividend,contributions+emergencyFund+reinvestment,320000,false
97,allWorld,長期方針優先,false,clear,2884729,-0.17995724898378732,,cashManagement+contributions+emergencyFund+reinvestment,310000,false
98,allWorld,長期方針優先,false,clear,1287579,-0.3765955411066063,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
99,allWorld,長期方針優先,false,clear,1131791,-0.2607661741106894,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
100,allWorld,長期方針優先,false,clear,2256069,-0.2345932062214543,bonds,emergencyFund+contributions+cashManagement,320000,false
101,allWorld,長期方針優先,false,clear,1945887,-0.2802681333791681,bonds,contributions+reinvestment+emergencyFund,320000,false
102,allWorld,長期方針優先,false,clear,1427935,-0.412790346907994,,contributions+emergencyFund+cashManagement+reinvestment,320000,false
103,allWorld,長期方針優先,false,clear,1057875,-0.294322,dividend,cashManagement+contributions+emergencyFund,270000,false
104,allWorld,長期方針優先,false,clear,1757386,-0.18461611060820712,gold,contributions+emergencyFund+reinvestment,320000,false
105,allWorld,長期方針優先,false,clear,1849538,-0.15090067975830815,,emergencyFund+reinvestment+contributions+cashManagement,200000,false
106,allWorld,長期方針優先,false,clear,1226158,-0.3295719661299565,,emergencyFund+reinvestment+contributions+cashManagement,160000,false
107,allWorld,長期方針優先,false,clear,1317333,-0.4328880591055413,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
108,allWorld,長期方針優先,false,clear,2081945,-0.2118026965641403,,contributions+reinvestment+emergencyFund+cashManagement,320000,false
109,allWorld,長期方針優先,false,clear,2133317,-0.168082988218519,gold,reinvestment+emergencyFund+cashManagement,20000,false
110,allWorld,長期方針優先,false,clear,2013389,-0.30821948658471016,dividend,reinvestment+cashManagement+emergencyFund,50000,false
111,allWorld,長期方針優先,false,clear,1882483,-0.25174115115950324,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
112,allWorld,長期方針優先,false,clear,2671958,-0.14057648299597028,gold,emergencyFund+reinvestment+contributions,160000,false
113,allWorld,長期方針優先,false,clear,963595,-0.441994,gold,contributions+emergencyFund+reinvestment,320000,false
114,allWorld,長期方針優先,false,clear,2858054,-0.15235323701732742,,emergencyFund+reinvestment+contributions+cashManagement,200000,false
115,allWorld,長期方針優先,false,clear,1440611,-0.2951545002832754,,emergencyFund+contributions+cashManagement+reinvestment,240000,false
116,allWorld,長期方針優先,false,clear,1398970,-0.219353,bonds,contributions+reinvestment+emergencyFund,320000,false
117,allWorld,長期方針優先,false,clear,1180464,-0.288645,,contributions+emergencyFund+cashManagement+reinvestment,320000,false
118,allWorld,長期方針優先,false,clear,554984,-0.6480327859276203,,reinvestment+contributions+emergencyFund+cashManagement,240000,false
119,allWorld,長期方針優先,false,clear,2876255,-0.15588995157682725,bonds,contributions+emergencyFund+reinvestment,320000,false
120,allWorld,長期方針優先,false,clear,1897615,-0.3266132062211197,dividend,contributions+reinvestment+emergencyFund,320000,false
121,allWorld,長期方針優先,false,clear,1920485,-0.369266293760041,,emergencyFund+reinvestment+cashManagement+contributions,80000,false
122,allWorld,長期方針優先,false,clear,2783722,-0.23757215137923166,gold,contributions+emergencyFund+reinvestment,320000,false
123,allWorld,長期方針優先,false,clear,905510,-0.48654580261218466,,contributions+cashManagement+reinvestment+emergencyFund,320000,false
124,allWorld,長期方針優先,false,clear,1271112,-0.42142925831235967,dividend,emergencyFund+cashManagement+contributions,160000,false
125,allWorld,長期方針優先,false,clear,2458042,-0.2161522881555671,dividend,contributions+reinvestment+emergencyFund,240000,false
126,allWorld,長期方針優先,false,clear,2267283,-0.1492456140350877,gold,emergencyFund+contributions+reinvestment,240000,false
127,allWorld,長期方針優先,false,clear,2068324,-0.3124482314999207,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
128,allWorld,長期方針優先,false,clear,978185,-0.432519,gold,cashManagement+reinvestment+emergencyFund,70000,false
129,allWorld,長期方針優先,false,clear,886517,-0.3101952388495164,bonds,emergencyFund+contributions+cashManagement,160000,false
130,allWorld,長期方針優先,false,clear,1723904,-0.22723695166975283,gold,reinvestment+emergencyFund+contributions,80000,false
131,allWorld,長期方針優先,false,clear,944022,-0.5042858014616332,bonds,emergencyFund+contributions+reinvestment,160000,false
132,allWorld,長期方針優先,false,clear,966397,-0.320105699127546,bonds,emergencyFund+contributions+reinvestment,240000,false
133,allWorld,長期方針優先,false,clear,1838750,-0.1838233343624192,gold,contributions+cashManagement+reinvestment,320000,false
134,allWorld,長期方針優先,false,clear,1460024,-0.16595520038984005,,contributions+reinvestment+emergencyFund+cashManagement,320000,false
135,allWorld,長期方針優先,false,clear,2181408,-0.30611916422878327,,emergencyFund+contributions+reinvestment+cashManagement,270000,false
136,allWorld,長期方針優先,false,clear,1932583,-0.2683221122302136,dividend,emergencyFund+cashManagement+contributions,270000,false
137,allWorld,長期方針優先,false,clear,3038484,-0.16489441911975555,gold,reinvestment+contributions+cashManagement,300000,true
138,allWorld,長期方針優先,false,clear,2991298,-0.287227798195894,gold,contributions+emergencyFund+reinvestment,320000,false
139,allWorld,長期方針優先,false,clear,2846620,-0.20756965821365048,,emergencyFund+contributions+cashManagement+reinvestment,270000,false
140,allWorld,長期方針優先,false,clear,3726101,-0.14103042156525478,,reinvestment+emergencyFund+cashManagement+contributions,160000,true
141,allWorld,長期方針優先,false,clear,1035734,-0.3705159988583964,bonds,contributions+emergencyFund+reinvestment,320000,false
142,allWorld,長期方針優先,false,clear,1357852,-0.32598425196850395,,reinvestment+cashManagement+contributions+emergencyFund,160000,false
143,allWorld,長期方針優先,false,clear,1210178,-0.367277148891156,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
144,allWorld,長期方針優先,false,clear,508393,-0.546412,gold,reinvestment+emergencyFund+contributions,80000,false
145,allWorld,長期方針優先,false,clear,4205087,-0.0773954288397708,bonds,reinvestment+contributions+cashManagement,320000,true
146,allWorld,長期方針優先,false,clear,2517404,-0.1696,gold,reinvestment+cashManagement+contributions,230000,false
147,allWorld,長期方針優先,false,clear,1564892,-0.3653247391210721,,emergencyFund+reinvestment+contributions+cashManagement,190000,false
148,allWorld,長期方針優先,false,clear,1054005,-0.3308989472167869,,reinvestment+cashManagement+emergencyFund+contributions,180000,false
149,allWorld,長期方針優先,false,clear,2235332,-0.20440447007101015,,contributions+emergencyFund+cashManagement+reinvestment,320000,false
150,allWorld,長期方針優先,false,clear,1406292,-0.2291150050932738,,emergencyFund+reinvestment+contributions+cashManagement,180000,false
151,allWorld,長期方針優先,false,clear,2322117,-0.2865530356124957,,emergencyFund+contributions+reinvestment+cashManagement,280000,false
152,allWorld,長期方針優先,false,clear,1209515,-0.335258,bonds,reinvestment+contributions+cashManagement,240000,false
153,allWorld,長期方針優先,false,clear,1288123,-0.46448741568493834,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
154,allWorld,長期方針優先,false,clear,4669013,-0.07217001830919847,bonds,contributions+emergencyFund+reinvestment,320000,true
155,allWorld,長期方針優先,false,clear,2468702,-0.18327151335311573,,reinvestment+contributions+emergencyFund+cashManagement,260000,false
156,allWorld,長期方針優先,false,clear,2463258,-0.1616,gold,contributions+cashManagement+emergencyFund,400000,false
157,allWorld,長期方針優先,false,clear,813267,-0.489698,bonds,contributions+emergencyFund+reinvestment,320000,false
158,allWorld,長期方針優先,false,clear,1184714,-0.24340179565536682,dividend,contributions+reinvestment+emergencyFund,320000,false
159,allWorld,長期方針優先,false,clear,1216489,-0.3727351568853302,gold,contributions+emergencyFund+cashManagement,320000,false
160,allWorld,長期方針優先,false,clear,1089883,-0.42195461882573293,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
161,allWorld,長期方針優先,false,clear,1835607,-0.1790178345514614,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
162,allWorld,長期方針優先,false,clear,2548983,-0.26257059487951806,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
163,allWorld,長期方針優先,false,clear,4791060,-0.06159722368535903,,contributions+reinvestment+cashManagement+emergencyFund,380000,true
164,allWorld,長期方針優先,false,clear,2327115,-0.166876,,contributions+emergencyFund+reinvestment+cashManagement,330000,false
165,allWorld,長期方針優先,false,clear,1153901,-0.23169588607277122,,cashManagement+emergencyFund+reinvestment+contributions,80000,false
166,allWorld,長期方針優先,false,clear,719560,-0.40888346962087285,bonds,contributions+emergencyFund+reinvestment,240000,false
167,allWorld,長期方針優先,false,clear,987011,-0.3593302378946236,,emergencyFund+cashManagement+contributions+reinvestment,160000,false
168,allWorld,長期方針優先,false,clear,2267853,-0.18197907569906413,,contributions+emergencyFund+cashManagement+reinvestment,330000,false
169,allWorld,長期方針優先,false,clear,1676594,-0.21090111983437537,bonds,reinvestment+emergencyFund+contributions,160000,false
170,allWorld,長期方針優先,false,clear,2094269,-0.3447512412605127,,emergencyFund+contributions+cashManagement+reinvestment,240000,false
171,allWorld,長期方針優先,false,clear,2068567,-0.0903683237187034,gold,emergencyFund+reinvestment+contributions,80000,false
172,allWorld,長期方針優先,false,clear,2762020,-0.18501556732466698,,contributions+reinvestment+emergencyFund+cashManagement,320000,false
173,allWorld,長期方針優先,false,clear,1243662,-0.23667532084921467,,contributions+reinvestment+cashManagement+emergencyFund,320000,false
174,allWorld,長期方針優先,false,clear,1043033,-0.3347095522408078,bonds,contributions+emergencyFund+reinvestment,320000,false
175,allWorld,長期方針優先,false,clear,695635,-0.4007501445070522,,contributions+cashManagement+emergencyFund+reinvestment,320000,false
176,allWorld,長期方針優先,false,clear,1486966,-0.3253860262274358,,reinvestment+contributions+emergencyFund+cashManagement,280000,false
177,allWorld,長期方針優先,false,clear,1663316,-0.4381781721286707,,contributions+cashManagement+emergencyFund+reinvestment,360000,false
178,allWorld,長期方針優先,false,clear,691736,-0.4437471654052385,,emergencyFund+contributions+reinvestment+cashManagement,270000,false
179,allWorld,長期方針優先,false,clear,1225748,-0.38797409659314513,gold,emergencyFund+contributions+reinvestment,240000,false
180,allWorld,長期方針優先,false,clear,2131647,-0.06198420436817473,gold,cashManagement+emergencyFund+contributions,110000,false
181,allWorld,長期方針優先,false,clear,3071756,-0.18768469751540862,,emergencyFund+contributions+cashManagement+reinvestment,310000,true
182,allWorld,長期方針優先,false,clear,3136698,-0.16352914316424572,dividend,emergencyFund+contributions+reinvestment,240000,true
183,allWorld,長期方針優先,false,clear,1652394,-0.25705730015038286,,contributions+emergencyFund+reinvestment+cashManagement,330000,false
184,allWorld,長期方針優先,false,clear,394726,-0.643705,,emergencyFund+contributions+reinvestment+cashManagement,250000,false
185,allWorld,長期方針優先,false,clear,2687411,-0.17522069209039548,,emergencyFund+contributions+reinvestment+cashManagement,280000,false
186,allWorld,長期方針優先,false,clear,1193785,-0.3945276118962023,gold,emergencyFund+contributions+reinvestment,240000,false
187,allWorld,長期方針優先,false,clear,1600111,-0.42277714695148977,bonds,reinvestment+contributions+cashManagement,240000,false
188,allWorld,長期方針優先,false,clear,998528,-0.264093,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
189,allWorld,長期方針優先,false,clear,1956601,-0.2503637562221459,,contributions+reinvestment+emergencyFund+cashManagement,320000,false
190,allWorld,長期方針優先,false,clear,1162151,-0.4225490787798314,dividend,emergencyFund+contributions+cashManagement,260000,false
191,allWorld,長期方針優先,false,clear,1102729,-0.3381594105545164,,contributions+emergencyFund+cashManagement+reinvestment,320000,false
192,allWorld,長期方針優先,false,clear,1011475,-0.3346972095993954,dividend,contributions+emergencyFund+reinvestment,240000,false
193,allWorld,長期方針優先,false,clear,1419937,-0.16401488250488647,dividend,contributions+emergencyFund+cashManagement,320000,false
194,allWorld,長期方針優先,false,clear,1867545,-0.160987,,contributions+cashManagement+emergencyFund+reinvestment,320000,false
195,allWorld,長期方針優先,false,clear,1471413,-0.1768,,contributions+cashManagement+emergencyFund+reinvestment,340000,false
196,allWorld,長期方針優先,false,clear,1121642,-0.356058,,contributions+reinvestment+emergencyFund+cashManagement,360000,false
197,allWorld,長期方針優先,false,clear,2792466,-0.3280501655664984,,emergencyFund+reinvestment+cashManagement+contributions,160000,false
198,allWorld,長期方針優先,false,clear,311743,-0.768811663751453,dividend,emergencyFund+reinvestment+cashManagement,0,false
199,allWorld,長期方針優先,false,clear,914906,-0.40167626841831333,bonds,reinvestment+emergencyFund+contributions,80000,false
200,allWorld,長期方針優先,false,clear,1648448,-0.39766881403386045,,emergencyFund+reinvestment+contributions+cashManagement,200000,false
201,allWorld,長期方針優先,false,clear,1476727,-0.2707490447894758,,reinvestment+emergencyFund+contributions+cashManagement,160000,false
202,allWorld,長期方針優先,false,clear,2888108,-0.23900039225309794,,reinvestment+contributions+emergencyFund+cashManagement,280000,false
203,allWorld,長期方針優先,false,clear,1356741,-0.23695174612244624,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
204,allWorld,長期方針優先,false,clear,1477827,-0.26,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
205,allWorld,長期方針優先,false,clear,3215441,-0.096658250573027,,emergencyFund+contributions+cashManagement+reinvestment,300000,true
206,allWorld,長期方針優先,false,clear,2181653,-0.15681950071695758,bonds,emergencyFund+contributions+cashManagement,260000,false
207,allWorld,長期方針優先,false,clear,2183599,-0.34625850340136055,,reinvestment+contributions+cashManagement+emergencyFund,300000,false
208,allWorld,長期方針優先,false,clear,2959220,-0.2741207668629991,,reinvestment+contributions+emergencyFund+cashManagement,280000,false
209,allWorld,長期方針優先,false,clear,2067423,-0.26985994486829185,,contributions+emergencyFund+cashManagement+reinvestment,320000,false
210,allWorld,長期方針優先,false,clear,866356,-0.5682154203521214,,emergencyFund+contributions+reinvestment+cashManagement,240000,false
211,allWorld,長期方針優先,false,clear,558396,-0.4822955683293158,,contributions+cashManagement+reinvestment+emergencyFund,320000,false
212,allWorld,長期方針優先,false,clear,2631375,-0.10712035152708578,,reinvestment+contributions+emergencyFund+cashManagement,280000,false
213,allWorld,長期方針優先,false,clear,897111,-0.431133,,reinvestment+emergencyFund+cashManagement+contributions,140000,false
214,allWorld,長期方針優先,false,clear,1671402,-0.21658163968521482,gold,contributions+emergencyFund+cashManagement,390000,false
215,allWorld,長期方針優先,false,clear,2140430,-0.30865167533591253,bonds,contributions+emergencyFund+reinvestment,320000,false
216,allWorld,長期方針優先,false,clear,806924,-0.275732,,contributions+reinvestment+cashManagement+emergencyFund,320000,false
217,allWorld,長期方針優先,false,clear,2442522,-0.09434091174825707,,cashManagement+contributions+emergencyFund+reinvestment,240000,false
218,allWorld,長期方針優先,false,clear,1996855,-0.2808443548117528,bonds,contributions+emergencyFund+reinvestment,320000,false
219,allWorld,長期方針優先,false,clear,1217339,-0.3816433631618195,,contributions+emergencyFund+cashManagement+reinvestment,320000,false
220,allWorld,長期方針優先,false,clear,3110179,-0.1416122724514786,,cashManagement+contributions+reinvestment+emergencyFund,270000,true
221,allWorld,長期方針優先,false,clear,1564138,-0.2230882155842751,,reinvestment+emergencyFund+cashManagement+contributions,130000,false
222,allWorld,長期方針優先,false,clear,1698843,-0.234538,bonds,contributions+emergencyFund+reinvestment,320000,false
223,allWorld,長期方針優先,false,clear,2197721,-0.19316730097497878,dividend,cashManagement+contributions+emergencyFund,240000,false
224,allWorld,長期方針優先,false,clear,1320908,-0.2893844519293804,gold,emergencyFund+contributions+cashManagement,240000,false
225,allWorld,長期方針優先,false,clear,2512443,-0.3052028579245451,dividend,contributions+emergencyFund+reinvestment,320000,false
226,allWorld,長期方針優先,false,clear,2587568,-0.30719270396134785,,contributions+emergencyFund+cashManagement+reinvestment,400000,false
227,allWorld,長期方針優先,false,clear,1788160,-0.2120869722856103,,contributions+emergencyFund+cashManagement+reinvestment,350000,false
228,allWorld,長期方針優先,false,clear,1492587,-0.20645135181133129,,contributions+emergencyFund+cashManagement+reinvestment,320000,false
229,allWorld,長期方針優先,false,clear,551617,-0.5627251309564578,,reinvestment+emergencyFund+contributions+cashManagement,170000,false
230,allWorld,長期方針優先,false,clear,1098234,-0.32084397767054595,,contributions+emergencyFund+reinvestment+cashManagement,320000,false
231,allWorld,長期方針優先,false,clear,1560702,-0.18920847325830792,,emergencyFund+reinvestment+contributions+cashManagement,170000,false
